transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,hist_mean,hist_std,amount_deviation,user_transaction_count,amount_ratio,risk_login_interaction
T1,U3756,18758.28,Transfer,UPI,Web,Hyderabad,895,14,1,25535.84,0,0.718,4,0,29464.364999999998,15140.690606919157,-0.7071067811865475,2,0.6366429413971759,2.872
T2,U7899,47538.18,Payment,Wallet,iOS,Hyderabad,918,21,0,3955.85,0,0.525,9,0,43833.93,5238.600588420537,0.7071067811865476,2,1.0845064542467444,4.7250000000000005
T3,U1765,36613.1,Payment,Card,Android,Chennai,1506,8,4,22727.71,0,0.985,9,0,19160.454999999998,24681.767258282984,0.7071067811865476,2,1.9108679830411126,8.865
T4,U8850,29952.99,Payment,Wallet,iOS,Chennai,800,1,3,18095.89,0,0.797,2,0,29952.99,,,1,1.0,1.594
T5,U9049,7843.13,Payment,UPI,Web,Delhi,301,4,1,9317.49,1,0.468,1,0,26325.406666666666,16541.066452421786,-1.117357016842204,3,0.2979300604663024,0.468
T6,U1787,7841.93,Transfer,NetBanking,Web,Hyderabad,1992,20,3,4177.23,0,0.583,3,0,17221.98,13265.39392573775,-0.7071067811865475,2,0.45534427516464426,1.7489999999999999
T7,U8763,2951.28,Transfer,UPI,Android,Hyderabad,1285,22,4,11451.45,0,0.045,8,1,10297.609999999999,10389.279519668338,-0.7071067811865475,2,0.2865985408264637,0.36
T8,U1439,43315.5,Transfer,UPI,Web,Hyderabad,1621,4,4,13297.18,0,0.965,4,0,43315.5,,,1,1.0,3.86
T9,U6660,30075.69,Transfer,UPI,Android,Mumbai,184,11,0,4308.8,0,0.363,5,0,34154.75,5768.661973733595,-0.707106781186548,2,0.8805712236218973,1.815
T10,U3566,35418.23,Payment,Card,iOS,Hyderabad,118,9,3,20136.79,0,0.662,5,0,39190.43,5334.696399983785,-0.7071067811865475,2,0.9037469096409507,3.31
T11,U7074,1078.2,Withdrawal,Wallet,iOS,Mumbai,971,3,4,9282.58,0,0.667,2,0,3392.355,3272.7093864335097,-0.7071067811865475,2,0.31783230233864085,1.334
T12,U4776,48497.0,Transfer,NetBanking,Android,Delhi,1373,11,2,24200.58,0,0.057,1,0,43383.095,7232.153807687581,0.7071067811865475,2,1.1178778277575632,0.057
T13,U2955,41630.51,Transfer,Card,iOS,Bangalore,857,14,4,19485.63,0,0.266,8,0,40571.265,1497.9986448758928,0.7071067811865476,2,1.0261082566688517,2.128
T14,U8947,10656.34,Payment,UPI,Android,Hyderabad,1047,9,4,9384.02,0,0.656,5,0,9334.136666666667,4913.210558100816,0.2691118806527245,3,1.1416524506283565,3.2800000000000002
T15,U7312,9132.16,Payment,NetBanking,iOS,Chennai,702,17,3,10864.59,0,0.912,2,0,24389.126666666667,13240.30124371924,-1.1523126540571778,3,0.3744357116518317,1.824
T16,U2252,9211.06,Payment,UPI,iOS,Chennai,1355,23,4,28270.21,0,0.779,7,0,6455.83,3896.4836334572224,0.7071067811865475,2,1.426781684152154,5.453
T17,U2234,15246.9,Payment,UPI,Web,Hyderabad,1978,4,1,28448.77,0,0.58,2,0,22656.692,14088.381057283337,-0.5259505666315949,5,0.6729534920631838,1.16
T18,U5276,26261.58,Withdrawal,UPI,Web,Mumbai,1817,12,4,12609.29,0,0.232,6,0,26261.58,,,1,1.0,1.3920000000000001
T19,U4164,21625.65,Withdrawal,NetBanking,Android,Chennai,973,3,2,20407.19,0,0.949,9,0,21625.65,,,1,1.0,8.541
T20,U2630,14596.9,Transfer,Wallet,iOS,Chennai,52,8,4,29401.17,0,0.404,4,0,14596.9,,,1,1.0,1.616
T21,U9283,30612.05,Withdrawal,UPI,iOS,Delhi,470,17,0,29822.13,0,0.15,5,0,30612.05,,,1,1.0,0.75
T22,U6747,7017.72,Transfer,Wallet,iOS,Delhi,1135,2,3,2256.81,0,0.022,1,0,24638.725000000002,24919.86425364412,-0.7071067811865476,2,0.2848248032314984,0.022
T23,U1181,14642.63,Transfer,NetBanking,Web,Delhi,1658,23,2,16649.62,1,0.95,1,0,24039.109999999997,16581.06909144582,-0.5666992850809388,3,0.609116976460443,0.95
T24,U4203,18349.77,Withdrawal,NetBanking,Android,Chennai,714,10,1,21825.86,0,0.778,9,0,12435.486666666666,5741.447510448331,1.0301031791321746,3,1.475597255810388,7.002000000000001
T25,U4808,22830.7,Transfer,UPI,Android,Chennai,1042,3,4,5687.3,0,0.216,5,0,22830.7,,,1,1.0,1.08
T26,U3308,39269.54,Payment,Wallet,Android,Hyderabad,158,8,4,24674.96,0,0.142,3,0,39269.54,,,1,1.0,0.42599999999999993
T27,U1472,10023.71,Transfer,Wallet,iOS,Hyderabad,347,11,1,14106.78,0,0.959,2,0,14347.19,6164.204904965441,-0.7013848609278573,3,0.6986531857457801,1.918
T28,U8397,25736.01,Payment,UPI,Android,Mumbai,1012,9,4,14982.77,0,0.241,7,0,31314.125,7888.645885476795,-0.7071067811865479,2,0.8218658512731873,1.6869999999999998
T29,U9198,29641.11,Withdrawal,Card,Web,Chennai,233,9,0,8302.26,0,0.462,4,0,29641.11,,,1,1.0,1.848
T30,U8334,2370.2,Withdrawal,Card,Web,Hyderabad,1143,8,2,9074.41,0,0.611,3,0,2370.2,,,1,1.0,1.833
T31,U2407,30396.87,Transfer,NetBanking,Android,Hyderabad,363,9,4,2616.78,0,0.062,2,0,21528.05,12542.405526245753,0.7071067811865475,2,1.4119657841746,0.124
T32,U7256,8567.68,Payment,NetBanking,iOS,Delhi,1117,8,1,27952.33,0,0.344,4,0,18613.835,14207.408650702282,-0.7071067811865474,2,0.46028558864951796,1.376
T33,U5506,3299.33,Transfer,Card,Web,Delhi,564,0,1,11517.82,1,0.944,9,0,3299.33,,,1,1.0,8.495999999999999
T34,U5582,47446.83,Withdrawal,Card,Web,Delhi,75,21,2,4950.68,0,0.7,7,0,47446.83,,,1,1.0,4.8999999999999995
T35,U3759,48283.32,Transfer,Card,iOS,Bangalore,1421,15,0,4356.41,0,0.368,1,0,24929.823333333334,20594.272819622285,1.133980154153119,3,1.9367694409386775,0.368
T36,U2802,40429.45,Transfer,UPI,iOS,Hyderabad,1924,13,2,12281.44,0,0.792,3,0,40429.45,,,1,1.0,2.3760000000000003
T37,U8637,15265.46,Payment,UPI,Android,Delhi,630,12,4,19003.02,1,0.837,5,0,25710.64,14771.715217428206,-0.7071067811865475,2,0.5937409570512441,4.185
T38,U4639,4928.72,Withdrawal,UPI,Web,Delhi,1647,5,0,23355.69,0,0.152,7,0,21776.74,23826.698383133153,-0.7071067811865476,2,0.22632956080662212,1.064
T39,U3206,34227.44,Transfer,UPI,Web,Chennai,1168,13,0,27745.69,0,0.587,5,0,34227.44,,,1,1.0,2.9349999999999996
T40,U9553,22035.62,Payment,UPI,Android,Delhi,1119,7,1,19107.49,0,0.367,9,0,22035.62,,,1,1.0,3.303
T41,U4277,6145.81,Transfer,UPI,Android,Chennai,93,22,0,12677.79,0,0.507,7,0,6145.81,,,1,1.0,3.549
